No.	ID	Banco	Producto	Concepto	Tipo de comisión (usual (U) o eventual E)	Tasa 30 días	Tasa 60 días	Tasa 90 días	Min	Max	ME-Tasa Max.	ME-Tasa Min.	ME-Min	ME-Max	Observaciones	Web Banco	Web Tarifario	Contacto
11	BanBif	Banco Interamericano de Finanzas	1.1 Transferencias recibidas	c. Reparación de transferencia	U					5					Se cobra al abonar en cuenta	http://www.banbif.com.pe/	http://www.banbif.com.pe/tarifario_general/documentos/ni_otros.swf	Ana Cecilia del Castillo - Jefe Comercio Exterior | adelcastillo@bif.com.pe | (511) 613 4935 | Av. Rivera Navarrete 600, San Isidro
12	Santander	Banco Santander	1.1 Transferencias recibidas	a. Comisión de registro abono en cuenta (cliente)	U				25						-	http://www.santander.com.pe/	https://www.santander.com.pe/BSP/estatico/popup.html	Sofia Angulo de Coz - Subgerente de Operaciones / Tesorera | sangulo@santander.com.pe | (511) 215 8171 | Av. Carnaval y Moreyra 380 piso 8
13	Santander	Banco Santander	1.1 Transferencias recibidas	b. Comisión de investigación + gastos del corresponsal	U				25						-	http://www.santander.com.pe/	https://www.santander.com.pe/BSP/estatico/popup.html	Sofia Angulo de Coz - Subgerente de Operaciones / Tesorera | sangulo@santander.com.pe | (511) 215 8171 | Av. Carnaval y Moreyra 380 piso 8
14	BBVA	BBVA Banco Continental	1.1 Transferencias recibidas	a. Por Ordenes de Pago Recibidas del Exterior (promedio)	U	0.010000000			22	500					Pago con abono en Cuenta Corriente o Ahorros min $ 22 / Pago a través de ventanilla o Transferencia a bancos locales 1% (min $ 22 - max $ 500) + Tarifa de Bancos Corresponsales	http://www.bbvabancocontinental.com/	https://www.bbvacontinental.pe/fbin/mult/ordenes_pago_del_exterior_PPJJ_2014_tcm1105-430194.pdf	Jacob Guzmán Torres - Funcionario de Comercio Exterior | jguzmant@bbva.com | (511) 211 2335 | Av. República de Panamá 3055 San Isidro
16	Interbank	Interbank	1.1 Transferencias recibidas	a.1. Comisión por procesamiento	U					20					Cliente (abono en cuenta)	http://www.interbank.com.pe/	http://www.interbank.com.pe/documents/10180/1606978/Giros_y_Transferencias_internacionales+PN_19082014.pdf/f19224ec-9301-4588-8f47-2991641afe43	Wilfredo Trigo Cohello - Gerente de Negocios y Producto Globales | wtrigo@intercorp.com.pe | (511) 219 2000 | Av. Carlos Villarán 140 Lima 13, Perú
17	Interbank	Interbank	1.1 Transferencias recibidas	b. Comisión por investigaciones (Comisión cobrada por el banco al realizar investigaciones)	U					5					A la recepción de la solicitud de investigación.	http://www.interbank.com.pe/	http://www.interbank.com.pe/documents/10180/1606978/Giros_y_Transferencias_internacionales+PN_19082014.pdf/f19224ec-9301-4588-8f47-2991641afe44	Wilfredo Trigo Cohello - Gerente de Negocios y Producto Globales | wtrigo@intercorp.com.pe | (511) 219 2000 | Av. Carlos Villarán 140 Lima 13, Perú
18	Interbank	Interbank	1.1 Transferencias recibidas	c. Gasto por investigaciones (Gasto del banco corresponsal por investigaciones)	U				25	100					Al Finalizar la solicitud de investigación.	http://www.interbank.com.pe/	http://www.interbank.com.pe/documents/10180/1606978/Giros_y_Transferencias_internacionales+PN_19082014.pdf/f19224ec-9301-4588-8f47-2991641afe45	Wilfredo Trigo Cohello - Gerente de Negocios y Producto Globales | wtrigo@intercorp.com.pe | (511) 219 2000 | Av. Carlos Villarán 140 Lima 13, Perú
19	Scotiabank	Scotiabank	1.1 Transferencias recibidas	a. Comisión para clientes y no clientes	U	0.004			17.78	100					Min Equiv S/. 48 - Max Equiv S/.270 por trámite. Se aplica sobre el monto de la Transferencia. TC. 2.70	http://www.scotiabank.com.pe/	http://cdn.agilitycms.com/scotiabank-peru/PDFs/empresas/cash-management/110.pdf	María Pia Castro - Gerente de Comercio Exterior | antonio.esquivel@scotiabank.com.pe | (511) 211 5976 Ext. 5976 | Calle Dionisio Darteano 102 San Isidro Piso 3
20	Scotiabank	Scotiabank	1.1 Transferencias recibidas	a.1 Comisión Portes (Envío de Documentación al cliente)	U					2.41					Equiv S/. 6.50 por trámite. Se aplica con la Comisión de Transferencia. TC. 2.70	http://www.scotiabank.com.pe/	http://cdn.agilitycms.com/scotiabank-peru/PDFs/empresas/cash-management/110.pdf	María Pia Castro - Gerente de Comercio Exterior | antonio.esquivel@scotiabank.com.pe | (511) 211 5976 Ext. 5976 | Calle Dionisio Darteano 102 San Isidro Piso 3
21	Scotiabank	Scotiabank	1.1 Transferencias recibidas	b. Gasto del Banco Corresponsal (OUR)	U					22.22					Equiv S/. 60. TC. 2.70	http://www.scotiabank.com.pe/	http://cdn.agilitycms.com/scotiabank-peru/PDFs/empresas/cash-management/110.pdf	María Pia Castro - Gerente de Comercio Exterior | antonio.esquivel@scotiabank.com.pe | (511) 211 5976 Ext. 5976 | Calle Dionisio Darteano 102 San Isidro Piso 3
22	BCP	Banco de Crédito del Perú	1.2 Cobranza Simple de Exportación	a. Por Registro de Cobranza Simple - Cheques al Cobro	U				57.5						Cheques sobre USA $65 y otras plazas $50 - Por cheque	https://www.viabcp.com/wps/portal/viabcpp/empresas	https://ww3.viabcp.com/connect/Nuestrobanco/pdf2006/ComercioExterior.pdf	Tomás Kanashiro / David Pajares Zalvidea - Funcionario | tkanashiro@bcp.com.pe / dpajares@bcp.com.pe | (511) 612 3456 ext. 35729 / 612 3457 | Calle Las Camelias 750 piso 9, San Isidro
23	BCP	Banco de Crédito del Perú	1.2 Cobranza Simple de Exportación	b. Mensaje telex/Llamada telefónica (a solicitud del beneficiario del Cheque)	U				20						Por llamada	https://www.viabcp.com/wps/portal/viabcpp/empresas	https://ww3.viabcp.com/connect/Nuestrobanco/pdf2006/ComercioExterior.pdf	Tomás Kanashiro / David Pajares Zalvidea - Funcionario | tkanashiro@bcp.com.pe / dpajares@bcp.com.pe | (511) 612 3456 ext. 35729 / 612 3458 | Calle Las Camelias 750 piso 9, San Isidro
24	BCP	Banco de Crédito del Perú	1.2 Cobranza Simple de Exportación	c. Mensaje swift	U				20						Por mensaje	https://www.viabcp.com/wps/portal/viabcpp/empresas	https://ww3.viabcp.com/connect/Nuestrobanco/pdf2006/ComercioExterior.pdf	Tomás Kanashiro / David Pajares Zalvidea - Funcionario | tkanashiro@bcp.com.pe / dpajares@bcp.com.pe | (511) 612 3456 ext. 35729 / 612 3459 | Calle Las Camelias 750 piso 9, San Isidro
25	BCP	Banco de Crédito del Perú	1.2 Cobranza Simple de Exportación	d. Portes	U				10						Por operación de pago	https://www.viabcp.com/wps/portal/viabcpp/empresas	https://ww3.viabcp.com/connect/Nuestrobanco/pdf2006/ComercioExterior.pdf	Tomás Kanashiro / David Pajares Zalvidea - Funcionario | tkanashiro@bcp.com.pe / dpajares@bcp.com.pe | (511) 612 3456 ext. 35729 / 612 3460 | Calle Las Camelias 750 piso 9, San Isidro
26	Financiero	Banco Financiero	1.2 Cobranza Simple de Exportación	a.1. Comisión de cobranza	U	0.0025			30						-	http://www.financiero.com.pe/	http://www.financiero.com.pe/Docs//TARIFARIOGENERAL_250315.pdf	Fabrizio Vásquez y/o Sergio Urquiaga - Funcionario | fvasquez@financiero.com.pe / surquiaga@financiero.com.pe | (511) 612-2000 Ext. 3629/3795 | Av. Jorge Basadre 310 Piso 3 - San Isidro, Lima 27
27	Financiero	Banco Financiero	1.2 Cobranza Simple de Exportación	a.2. Comisión por envío de información periódica	U					11					-	http://www.financiero.com.pe/	http://www.financiero.com.pe/Docs//TARIFARIOGENERAL_250315.pdf	Fabrizio Vásquez y/o Sergio Urquiaga - Funcionario | fvasquez@financiero.com.pe / surquiaga@financiero.com.pe | (511) 612-2000 Ext. 3629/3795 | Av. Jorge Basadre 310 Piso 3 - San Isidro, Lima 27
28	BanBif	Banco Interamericano de Finanzas	1.2 Cobranza Simple de Exportación	a. Gestión de Cobranzas (Por adelantado)	U	0.005			60	600					-	http://www.banbif.com.pe/	http://www.banbif.com.pe/tarifario_general/documentos/ni_export_cobranzas.swf	Ana Cecilia del Castillo - Jefe Comercio Exterior | adelcastillo@bif.com.pe | (511) 613 4935 | Av. Rivera Navarrete 600, San Isidro
29	BanBif	Banco Interamericano de Finanzas	1.2 Cobranza Simple de Exportación	b. Transferencia Recibida	U					20					-	http://www.banbif.com.pe/	http://www.banbif.com.pe/tarifario_general/documentos/ni_export_cobranzas.swf	Ana Cecilia del Castillo - Jefe Comercio Exterior | adelcastillo@bif.com.pe | (511) 613 4935 | Av. Rivera Navarrete 600, San Isidro
30	BanBif	Banco Interamericano de Finanzas	1.2 Cobranza Simple de Exportación	c. Emisión de mensajes por seguimiento (Swift)	U					30					-	http://www.banbif.com.pe/	http://www.banbif.com.pe/tarifario_general/documentos/ni_export_cobranzas.swf	Ana Cecilia del Castillo - Jefe Comercio Exterior | adelcastillo@bif.com.pe | (511) 613 4935 | Av. Rivera Navarrete 600, San Isidro
31	BanBif	Banco Interamericano de Finanzas	1.2 Cobranza Simple de Exportación	d. Devolución y/o Descargo	E					60					En caso de descargo	http://www.banbif.com.pe/	http://www.banbif.com.pe/tarifario_general/documentos/ni_export_cobranzas.swf	Ana Cecilia del Castillo - Jefe Comercio Exterior | adelcastillo@bif.com.pe | (511) 613 4935 | Av. Rivera Navarrete 600, San Isidro
32	BanBif	Banco Interamericano de Finanzas	1.2 Cobranza Simple de Exportación	e. Swift	E					30					-	http://www.banbif.com.pe/	http://www.banbif.com.pe/tarifario_general/documentos/ni_export_cobranzas.swf	Ana Cecilia del Castillo - Jefe Comercio Exterior | adelcastillo@bif.com.pe | (511) 613 4935 | Av. Rivera Navarrete 600, San Isidro
33	BanBif	Banco Interamericano de Finanzas	1.2 Cobranza Simple de Exportación	f. Portes	E					12					-	http://www.banbif.com.pe/	http://www.banbif.com.pe/tarifario_general/documentos/ni_export_cobranzas.swf	Ana Cecilia del Castillo - Jefe Comercio Exterior | adelcastillo@bif.com.pe | (511) 613 4935 | Av. Rivera Navarrete 600, San Isidro
34	BanBif	Banco Interamericano de Finanzas	1.2 Cobranza Simple de Exportación	g. Courier	E					75.33					Trámite directo $ 12 + Courier (USA $ 60 / América - Europa $ 60 / Asia - Oceanía - África $ 70	http://www.banbif.com.pe/	http://www.banbif.com.pe/tarifario_general/documentos/ni_export_cobranzas.swf	Ana Cecilia del Castillo - Jefe Comercio Exterior | adelcastillo@bif.com.pe | (511) 613 4935 | Av. Rivera Navarrete 600, San Isidro
35	BBVA	BBVA Banco Continental	1.2 Cobranza Simple de Exportación	a. Gestión cheques enviados al cobro al Exterior	U				91						$80 + Portes Internacional: $11 + Gastos del Banco Corresponsal	http://www.bbvabancocontinental.com/	https://www.bbvacontinental.pe/fbin/mult/comex_cobranzas_exportacion_tcm1105-430202.pdf	Jacob Guzmán Torres - Funcionario de Comercio Exterior | jguzmant@bbva.com | (511) 211 2335 | Av. República de Panamá 3055 San Isidro
36	BBVA	BBVA Banco Continental	1.2 Cobranza Simple de Exportación	b. Emisión de Tracers	U				33						$12 + Portes Internacional: $11	http://www.bbvabancocontinental.com/	https://www.bbvacontinental.pe/fbin/mult/comex_cobranzas_exportacion_tcm1105-430202.pdf	Jacob Guzmán Torres - Funcionario de Comercio Exterior | jguzmant@bbva.com | (511) 211 2335 | Av. República de Panamá 3055 San Isidro
37	Interbank	Interbank	1.2 Cobranza Simple de Exportación	a. Comisión de gestión de courier	U				48						USA y Latinoamérica $ 35.40 / Europa $ 47.20 / Asia y Oceanía $ 60.18	http://www.interbank.com.pe/	http://www.interbank.com.pe/documents/10180/1606978/Cobranzas+Exportaci%C3%B3n+y+Remesa+PJ.pdf/09083e3c-1e5c-4599-b085-fcad3cd6b7c4	Wilfredo Trigo Cohello - Gerente de Negocios y Producto Globales | wtrigo@intercorp.com.pe | (511) 219 2000 | Av. Carlos Villarán 140 Lima 13, Perú
38	Interbank	Interbank	1.2 Cobranza Simple de Exportación	b.1. Comisión de gestión de cobranza	U	0.00291666666666667			10	200					Promedio. Hasta $ 10,000: 0.50% min $ 10 / De $ 10,000 a $ 100,000: 0.25% min $ 20 / Más de $ 100,000: 0.125% max $ 200	http://www.interbank.com.pe/	http://www.interbank.com.pe/documents/10180/1606978/Cobranzas+Exportaci%C3%B3n+y+Remesa+PJ.pdf/09083e3c-1e5c-4599-b085-fcad3cd6b7c4	Wilfredo Trigo Cohello - Gerente de Negocios y Producto Globales | wtrigo@intercorp.com.pe | (511) 219 2000 | Av. Carlos Villarán 140 Lima 13, Perú
39	Interbank	Interbank	1.2 Cobranza Simple de Exportación	b.2. Comisión de gestión de portes	U					10					-	http://www.interbank.com.pe/	http://www.interbank.com.pe/documents/10180/1606978/Cobranzas+Exportaci%C3%B3n+y+Remesa+PJ.pdf/09083e3c-1e5c-4599-b085-fcad3cd6b7c4	Wilfredo Trigo Cohello - Gerente de Negocios y Producto Globales | wtrigo@intercorp.com.pe | (511) 219 2000 | Av. Carlos Villarán 140 Lima 13, Perú
40	Interbank	Interbank	1.2 Cobranza Simple de Exportación	c.1. Comisión por devolución de cheques por falta de fondos en el exterior	E					10					-	http://www.interbank.com.pe/	http://www.interbank.com.pe/documents/10180/1606978/Cobranzas+Exportaci%C3%B3n+y+Remesa+PJ.pdf/09083e3c-1e5c-4599-b085-fcad3cd6b7c4	Wilfredo Trigo Cohello - Gerente de Negocios y Producto Globales | wtrigo@intercorp.com.pe | (511) 219 2000 | Av. Carlos Villarán 140 Lima 13, Perú
41	Interbank	Interbank	1.2 Cobranza Simple de Exportación	c.2. Comisión de gestión de portes	E					10					-	http://www.interbank.com.pe/	http://www.interbank.com.pe/documents/10180/1606978/Cobranzas+Exportaci%C3%B3n+y+Remesa+PJ.pdf/09083e3c-1e5c-4599-b085-fcad3cd6b7c4	Wilfredo Trigo Cohello - Gerente de Negocios y Producto Globales | wtrigo@intercorp.com.pe | (511) 219 2000 | Av. Carlos Villarán 140 Lima 13, Perú
42	Interbank	Interbank	1.2 Cobranza Simple de Exportación	c.3. Comisión de gestión de swift	E					25					-	http://www.interbank.com.pe/	http://www.interbank.com.pe/documents/10180/1606978/Cobranzas+Exportaci%C3%B3n+y+Remesa+PJ.pdf/09083e3c-1e5c-4599-b085-fcad3cd6b7c4	Wilfredo Trigo Cohello - Gerente de Negocios y Producto Globales | wtrigo@intercorp.com.pe | (511) 219 2000 | Av. Carlos Villarán 140 Lima 13, Perú
43	Bancomercio	Banco de Comercio	1.3 Cobranza Documentaria de Exportación	a.1. Cobranzas a la vista - Comisión de cobranza total o parcial	U	0.005			50						Por documento mas (Portes $ 0.75 + Swift $ 20 + Fax $ 20 + Fotocopia S/0.50 por hoja)	http://www.bancomercio.com.pe/	http://www.bancomercio.com/repositorioaps/0/0/jer/manual_general_tarifas/files/Tarifario%20V_24%20del%2026_03_2015.pdf	Manuel Serrano Torres - Gerente de Negocios Internacionales y Corresponsalía | mserrano@bancomercio.com.pe | (511)513 7014 / 513 6000 | Av. Canaval y Moreyra No. 454 -452  San Isidro, Lima 27- Perú
44	Bancomercio	Banco de Comercio	1.3 Cobranza Documentaria de Exportación	a.2. Cobranza a la vista - Cobrar Portes, Swift, Fax, Fotocopia	U				40.75						Por documento se cobra swift $20 + portes $0.75 + fax $20 (+ Fotocopia S/0.50 por hoja en caso corresponda)	http://www.bancomercio.com.pe/	http://www.bancomercio.com/repositorioaps/0/0/jer/manual_general_tarifas/files/Tarifario%20V_24%20del%2026_03_2015.pdf	Manuel Serrano Torres - Gerente de Negocios Internacionales y Corresponsalía | mserrano@bancomercio.com.pe | (511)513 7014 / 513 6000 | Av. Canaval y Moreyra No. 454 -452  San Isidro, Lima 27- Perú
45	Bancomercio	Banco de Comercio	1.3 Cobranza Documentaria de Exportación	a.3 Cobranzas a la vista - Comisión de Aval	U	0.0075			50						Tasa Anual 3% mas (Portes $ 0.75 + Swift $ 20 + Fax $ 20 + Fotocopia S/0.50 por hoja)	http://www.bancomercio.com.pe/	http://www.bancomercio.com/repositorioaps/0/0/jer/manual_general_tarifas/files/Tarifario%20V_24%20del%2026_03_2015.pdf	Manuel Serrano Torres - Gerente de Negocios Internacionales y Corresponsalía | mserrano@bancomercio.com.pe | (511)513 7014 / 513 6000 | Av. Canaval y Moreyra No. 454 -452  San Isidro, Lima 27- Perú
46	Bancomercio	Banco de Comercio	1.3 Cobranza Documentaria de Exportación	a.4. Cobranzas a la vista - Gastos por Courier	U				50						mas Portes $ 0.75 + Swift $ 20 + Fax $ 20 + Fotocopia S/0.50 por hoja	http://www.bancomercio.com.pe/	http://www.bancomercio.com/repositorioaps/0/0/jer/manual_general_tarifas/files/Tarifario%20V_24%20del%2026_03_2015.pdf	Manuel Serrano Torres - Gerente de Negocios Internacionales y Corresponsalía | mserrano@bancomercio.com.pe | (511)513 7014 / 513 6000 | Av. Canaval y Moreyra No. 454 -452  San Isidro, Lima 27- Perú
47	Bancomercio	Banco de Comercio	1.3 Cobranza Documentaria de Exportación	b.1. Cobranzas de Aceptación o Pago Diferido - Comisión de cobranza total o parcial	U	0.005			50						Por documento mas ( Portes $ 0.75 + Swift $ 20 + Fax $ 20 + Fotocopia S/0.50 por hoja)	http://www.bancomercio.com.pe/	http://www.bancomercio.com/repositorioaps/0/0/jer/manual_general_tarifas/files/Tarifario%20V_24%20del%2026_03_2015.pdf	Manuel Serrano Torres - Gerente de Negocios Internacionales y Corresponsalía | mserrano@bancomercio.com.pe | (511)513 7014 / 513 6000 | Av. Canaval y Moreyra No. 454 -452  San Isidro, Lima 27- Perú
48	Bancomercio	Banco de Comercio	1.3 Cobranza Documentaria de Exportación	b.2. Comisión de Aceptación o pago diferido	U	0.005			50						Por trimestre o fracción mas ( Portes $ 0.75 + Swift $ 20 + Fax $ 20 + Fotocopia S/0.50 por hoja)	http://www.bancomercio.com.pe/	http://www.bancomercio.com/repositorioaps/0/0/jer/manual_general_tarifas/files/Tarifario%20V_24%20del%2026_03_2015.pdf	Manuel Serrano Torres - Gerente de Negocios Internacionales y Corresponsalía | mserrano@bancomercio.com.pe | (511)513 7014 / 513 6000 | Av. Canaval y Moreyra No. 454 -452  San Isidro, Lima 27- Perú
49	Bancomercio	Banco de Comercio	1.3 Cobranza Documentaria de Exportación	b.3. Cobranza de Aceptación o Pago Diferido - Cobrar Portes, Swift, Fax, Fotocopia	U				40.75						Por documento se cobra swift $20 + portes $0.75 + fax $20 (+ Fotocopia S/0.50 por hoja en caso corresponda)	http://www.bancomercio.com.pe/	http://www.bancomercio.com/repositorioaps/0/0/jer/manual_general_tarifas/files/Tarifario%20V_24%20del%2026_03_2015.pdf	Manuel Serrano Torres - Gerente de Negocios Internacionales y Corresponsalía | mserrano@bancomercio.com.pe | (511)513 7014 / 513 6000 | Av. Canaval y Moreyra No. 454 -452  San Isidro, Lima 27- Perú
50	Bancomercio	Banco de Comercio	1.3 Cobranza Documentaria de Exportación	b.4.Cobranza de Aceptación o Pago Diferido - Gastos por Courier	U				50						mas Portes $ 0.75 + Swift $ 20 + Fax $ 20 + Fotocopia S/0.50 por hoja	http://www.bancomercio.com.pe/	http://www.bancomercio.com/repositorioaps/0/0/jer/manual_general_tarifas/files/Tarifario%20V_24%20del%2026_03_2015.pdf	Manuel Serrano Torres - Gerente de Negocios Internacionales y Corresponsalía | mserrano@bancomercio.com.pe | (511)513 7014 / 513 6000 | Av. Canaval y Moreyra No. 454 -452  San Isidro, Lima 27- Perú
51	Bancomercio	Banco de Comercio	1.3 Cobranza Documentaria de Exportación	f. Comisión de Protesto	E				50						-	http://www.bancomercio.com.pe/	http://www.bancomercio.com/repositorioaps/0/0/jer/manual_general_tarifas/files/Tarifario%20V_24%20del%2026_03_2015.pdf	Manuel Serrano Torres - Gerente de Negocios Internacionales y Corresponsalía | mserrano@bancomercio.com.pe | (511)513 7014 / 513 6000 | Av. Canaval y Moreyra No. 454 -452  San Isidro, Lima 27- Perú
52	Bancomercio	Banco de Comercio	1.3 Cobranza Documentaria de Exportación	g. Cobranzas Impagas	E	0.005			50						Por documento mas ( Portes $ 0.75 + Swift $ 20 + Fax $ 20 + Fotocopia S/0.50 por hoja)	http://www.bancomercio.com.pe/	http://www.bancomercio.com/repositorioaps/0/0/jer/manual_general_tarifas/files/Tarifario%20V_24%20del%2026_03_2015.pdf	Manuel Serrano Torres - Gerente de Negocios Internacionales y Corresponsalía | mserrano@bancomercio.com.pe | (511)513 7014 / 513 6000 | Av. Canaval y Moreyra No. 454 -452  San Isidro, Lima 27- Perú
53	Bancomercio	Banco de Comercio	1.3 Cobranza Documentaria de Exportación	h. Convenio BCR – ALADI	E	0.0003									-	http://www.bancomercio.com.pe/	http://www.bancomercio.com/repositorioaps/0/0/jer/manual_general_tarifas/files/Tarifario%20V_24%20del%2026_03_2015.pdf	Manuel Serrano Torres - Gerente de Negocios Internacionales y Corresponsalía | mserrano@bancomercio.com.pe | (511)513 7014 / 513 6000 | Av. Canaval y Moreyra No. 454 -452  San Isidro, Lima 27- Perú
54	BCP	Banco de Crédito del Perú	1.3 Cobranza Documentaria de Exportación	a.1 Envío de documentos de embarque vía Courier internacional. Según tarifario de Courier por destino.	U										Según tarifario de Courier por destino	https://www.viabcp.com/wps/portal/viabcpp/empresas	https://ww3.viabcp.com/connect/Nuestrobanco/pdf2006/ComercioExterior.pdf	Tomás Kanashiro / David Pajares Zalvidea - Funcionario | tkanashiro@bcp.com.pe / dpajares@bcp.com.pe | (511) 612 3456 ext. 35729 / 612 3461 | Calle Las Camelias 750 piso 9, San Isidro
55	BCP	Banco de Crédito del Perú	1.3 Cobranza Documentaria de Exportación	a.2 Por Cobranza/ingreso	U	0.002			35	1500					Por operación	https://www.viabcp.com/wps/portal/viabcpp/empresas	https://ww3.viabcp.com/connect/Nuestrobanco/pdf2006/ComercioExterior.pdf	Tomás Kanashiro / David Pajares Zalvidea - Funcionario | tkanashiro@bcp.com.pe / dpajares@bcp.com.pe | (511) 612 3456 ext. 35729 / 612 3463 | Calle Las Camelias 750 piso 9, San Isidro
56	BCP	Banco de Crédito del Perú	1.3 Cobranza Documentaria de Exportación	a.3. Mensaje telex/Llamada telefónica (a solicitud del ordenante)	U				20						Por Mensaje	https://www.viabcp.com/wps/portal/viabcpp/empresas	https://ww3.viabcp.com/connect/Nuestrobanco/pdf2006/ComercioExterior.pdf	Tomás Kanashiro / David Pajares Zalvidea - Funcionario | tkanashiro@bcp.com.pe / dpajares@bcp.com.pe | (511) 612 3456 ext. 35729 / 612 3464 | Calle Las Camelias 750 piso 9, San Isidro
